Player,Question,Player's answer
SmartBot3,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot3,Coca-Cola&#039;s original colour was green.,False
SmartBot3,Did Michael Jackson invent the moonwalk?,False
SmartBot3,Haggis is traditionally ate on Burns Night.,True
SmartBot3,Pure water effectively conducts electricity ,False
SmartBot3,"When you cry in space, your tears stick to your face.",True
SmartBot3,The commercial UK channel ITV stands for &quot;International Television&quot;.,True
SmartBot3,Nutella is produced by the German company Ferrero.,False
SmartBot3,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot3,A pasodoble is a type of Italian pasta sauce.,False
SmartBot4,Cucumbers are usually more than 90% water.,True
SmartBot4,Haggis is traditionally ate on Burns Night.,True
SmartBot4,Pure water effectively conducts electricity ,False
SmartBot4,The scientific name for the Southern Lights is Aurora Australis?,True
SmartBot4,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,True
SmartBot4,The French word to travel is &quot;Travail&quot;,False
SmartBot4,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False
SmartBot4,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot4,Slovakia is a member of European Union-,True
SmartBot4,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot5,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot5,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False
SmartBot5,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot5,The Lego Group was founded in 1932.,True
SmartBot5,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,True
SmartBot5,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot5,Slovakia is a member of European Union-,True
SmartBot5,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot5,An eggplant is a vegetable.,False
SmartBot6,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot6,Slovakia is a member of European Union-,True
SmartBot6,Dihydrogen Monoxide is a dangerous chemical.,True
SmartBot6,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot6,The color orange is named after the fruit.,True
SmartBot6,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot6,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot6,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot6,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot6,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot7,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot7,Slovakia is a member of European Union-,True
SmartBot7,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",False
SmartBot7,French is an official language in Canada.,True
SmartBot7,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot7,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot7,An eggplant is a vegetable.,True
SmartBot7,Haggis is traditionally ate on Burns Night.,True
SmartBot8,Slovakia is a member of European Union-,True
SmartBot8,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot8,Kissing someone for one minute burns about 2 calories.,True
SmartBot8,Haggis is traditionally ate on Burns Night.,True
SmartBot8,Cucumbers are usually more than 90% water.,False
SmartBot8,Pure water effectively conducts electricity ,True
SmartBot8,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
SmartBot8,Coca-Cola&#039;s original colour was green.,False
SmartBot9,Coca-Cola&#039;s original colour was green.,False
SmartBot9,Kissing someone for one minute burns about 2 calories.,True
SmartBot9,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",False
SmartBot9,The Great Wall of China is visible from the moon.,False
SmartBot9,Haggis is traditionally ate on Burns Night.,True
SmartBot9,Pure water effectively conducts electricity ,False
SmartBot9,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot9,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot9,An eggplant is a vegetable.,True
SmartBot9,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot10,Haggis is traditionally ate on Burns Night.,True
SmartBot10,Gumbo is a stew that originated in Louisiana.,True
SmartBot10,A pasodoble is a type of Italian pasta sauce.,False
SmartBot10,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot10,The Great Wall of China is visible from the moon.,False
SmartBot10,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot10,Coca-Cola&#039;s original colour was green.,False
SmartBot10,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot10,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot1,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot1,The National Animal of Scotland is the Unicorn.,True
SmartBot1,Gumbo is a stew that originated in Louisiana.,True
SmartBot1,"When you cry in space, your tears stick to your face.",True
SmartBot1,The French word to travel is &quot;Travail&quot;,False
SmartBot1,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,False
SmartBot1,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot1,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot1,Did Michael Jackson invent the moonwalk?,True
SmartBot2,The Lego Group was founded in 1932.,True
SmartBot2,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",True
SmartBot2,Coca-Cola&#039;s original colour was green.,False
SmartBot2,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot2,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot2,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot2,The color orange is named after the fruit.,True
SmartBot2,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot2,Haggis is traditionally ate on Burns Night.,True
SmartBot2,Cucumbers are usually more than 90% water.,True
SmartBot3,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot3,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot3,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot3,The color orange is named after the fruit.,True
SmartBot3,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot3,The Lego Group was founded in 1932.,True
SmartBot3,Dihydrogen Monoxide is a dangerous chemical.,False
SmartBot3,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot3,Haggis is traditionally ate on Burns Night.,True
SmartBot3,Pure water effectively conducts electricity ,False
SmartBot4,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,False
SmartBot4,The Great Wall of China is visible from the moon.,True
SmartBot4,The color orange is named after the fruit.,True
SmartBot4,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot4,King Gizzard &amp; The Lizard Wizard&#039;s album &quot;Nonagon Infinity&quot; can be looped seamlessly.,True
SmartBot4,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot4,Kissing someone for one minute burns about 2 calories.,True
SmartBot4,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot4,"When you cry in space, your tears stick to your face.",True
SmartBot5,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot5,The Lego Group was founded in 1932.,False
SmartBot5,Slovakia is a member of European Union-,True
SmartBot5,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot5,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot5,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot5,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
SmartBot5,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot6,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot6,Gumbo is a stew that originated in Louisiana.,False
SmartBot6,Jingle Bells was originally meant for Thanksgiving,True
SmartBot6,Slovakia is a member of European Union-,False
SmartBot6,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot6,A pasodoble is a type of Italian pasta sauce.,False
SmartBot6,Pure water effectively conducts electricity ,False
SmartBot6,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot6,Haggis is traditionally ate on Burns Night.,True
SmartBot6,Cucumbers are usually more than 90% water.,True
SmartBot7,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot7,Pure water effectively conducts electricity ,False
SmartBot7,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot7,French is an official language in Canada.,False
SmartBot7,Gumbo is a stew that originated in Louisiana.,False
SmartBot7,Slovakia is a member of European Union-,True
SmartBot7,A pasodoble is a type of Italian pasta sauce.,False
SmartBot7,Cucumbers are usually more than 90% water.,True
SmartBot7,The Lego Group was founded in 1932.,True
SmartBot8,The color orange is named after the fruit.,True
SmartBot8,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot8,The National Animal of Scotland is the Unicorn.,False
SmartBot8,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True
SmartBot8,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot8,"In Scandinavian languages, the letter &Aring; means river.",False
SmartBot8,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot8,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot8,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot8,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot9,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot9,An eggplant is a vegetable.,False
SmartBot9,The Lego Group was founded in 1932.,True
SmartBot9,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
SmartBot9,The color orange is named after the fruit.,True
SmartBot9,Jingle Bells was originally meant for Thanksgiving,True
SmartBot9,Slovakia is a member of European Union-,True
SmartBot9,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot9,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot10,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot10,Haggis is traditionally ate on Burns Night.,True
SmartBot10,Slovakia is a member of European Union-,False
SmartBot10,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot10,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot10,Coca-Cola&#039;s original colour was green.,False
SmartBot10,Gumbo is a stew that originated in Louisiana.,True
SmartBot10,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot1,Haggis is traditionally ate on Burns Night.,True
SmartBot1,The vapor produced by e-cigarettes is actually water.,False
SmartBot1,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,True
SmartBot1,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot1,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot1,"When you cry in space, your tears stick to your face.",True
SmartBot1,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
SmartBot1,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot1,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot2,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot2,The scientific name for the Southern Lights is Aurora Australis?,True
SmartBot2,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",True
SmartBot2,Kissing someone for one minute burns about 2 calories.,True
SmartBot2,The French word for &quot;glass&quot; is &quot;glace&quot;.,False
SmartBot2,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot2,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
SmartBot2,Cucumbers are usually more than 90% water.,True
SmartBot2,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot3,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot3,The French word to travel is &quot;Travail&quot;,False
SmartBot3,Gumbo is a stew that originated in Louisiana.,True
SmartBot3,An eggplant is a vegetable.,False
SmartBot3,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",False
SmartBot3,The Lego Group was founded in 1932.,True
SmartBot3,Coca-Cola&#039;s original colour was green.,False
SmartBot3,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot3,You are allowed to sell your soul on eBay.,False
SmartBot3,&quot;Santa Claus&quot; is a variety of melon.,False
SmartBot4,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot4,"When you cry in space, your tears stick to your face.",True
SmartBot4,SCP-173 was the first SCP article written for the web-based collaborative fiction project known as the &quot;SCP Foundation&quot;,True
SmartBot4,The commercial UK channel ITV stands for &quot;International Television&quot;.,True
SmartBot4,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False
SmartBot4,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,False
SmartBot4,Gumbo is a stew that originated in Louisiana.,False
SmartBot4,Slovakia is a member of European Union-,True
SmartBot4,Haggis is traditionally ate on Burns Night.,True
SmartBot5,The Great Wall of China is visible from the moon.,False
SmartBot5,"In architecture, a &quot;pecklesteiner&quot; is a set of doors that overlap each other when closed, and can be locked through a single keyhole.",False
SmartBot5,The sum of all the numbers on a roulette wheel is 666.,False
SmartBot5,Did Michael Jackson invent the moonwalk?,True
SmartBot5,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot5,Pure water effectively conducts electricity ,False
SmartBot5,The French word to travel is &quot;Travail&quot;,False
SmartBot5,An eggplant is a vegetable.,False
SmartBot5,Sitting for more than three hours a day can cut two years off a person&#039;s life expectancy.,True
SmartBot5,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
SmartBot6,Nutella is produced by the German company Ferrero.,False
SmartBot6,The French word to travel is &quot;Travail&quot;,False
SmartBot6,Cucumbers are usually more than 90% water.,True
SmartBot6,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,False
SmartBot6,Kissing someone for one minute burns about 2 calories.,True
SmartBot6,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot6,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot6,"When you cry in space, your tears stick to your face.",False
SmartBot7,"In Scandinavian languages, the letter &Aring; means river.",False
SmartBot7,The pickled gherkin was first added to hamburgers because a US health law required all fast-food to include a source of Vitamin C.,False
SmartBot7,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,True
SmartBot7,Pure water effectively conducts electricity ,False
SmartBot7,Slovakia is a member of European Union-,False
SmartBot7,Gumbo is a stew that originated in Louisiana.,True
SmartBot7,The scientific name for the Southern Lights is Aurora Australis?,True
SmartBot7,French is an official language in Canada.,False
SmartBot8,"Kraft &quot;Cheez Whiz&quot; contains cheese culture, but doesn&#039;t actually contain cheese",True
SmartBot8,The French word to travel is &quot;Travail&quot;,False
SmartBot8,"When you cry in space, your tears stick to your face.",True
SmartBot8,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
SmartBot8,The Great Wall of China is visible from the moon.,False
SmartBot8,The color orange is named after the fruit.,True
SmartBot8,Nutella is produced by the German company Ferrero.,False
SmartBot8,The sum of all the numbers on a roulette wheel is 666.,True
SmartBot8,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot8,Pure water effectively conducts electricity ,False
SmartBot9,Did Michael Jackson invent the moonwalk?,False
SmartBot9,&quot;Santa Claus&quot; is a variety of melon.,True
SmartBot9,The commercial UK channel ITV stands for &quot;International Television&quot;.,False
SmartBot9,Nutella is produced by the German company Ferrero.,False
SmartBot9,The term &quot;Spam&quot; came before the food product &quot;Spam&quot;.,False
SmartBot9,Pure water effectively conducts electricity ,False
SmartBot9,&quot;Buffalo buffalo Buffalo buffalo buffalo buffalo Buffalo buffalo.&quot; is a grammatically correct sentence.,True
SmartBot9,"The word &quot;news&quot; originates from the first letters of the 4 main directions on a compass (North, East, West, South).",False
SmartBot9,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot10,You are allowed to sell your soul on eBay.,False
SmartBot10,The French word to travel is &quot;Travail&quot;,True
SmartBot10,Nutella is produced by the German company Ferrero.,False
SmartBot10,This is the correct spelling of &quot;Supercalifragilisticexpialidocious&quot;.,False
SmartBot10,&quot;Typewriter&quot; is the longest word that can be typed using only the first row on a QWERTY keyboard.,False
SmartBot10,Cucumbers are usually more than 90% water.,False
SmartBot1,Slovakia is a member of European Union-,True
SmartBot1,The commercial UK channel ITV stands for &quot;International Television&quot;.,True
SmartBot1,Pure water effectively conducts electricity ,False
SmartBot1,The Great Wall of China is visible from the moon.,False
SmartBot1,Cucumbers are usually more than 90% water.,True
SmartBot1,"The bikini is named after the &quot;Bikini Atoll&quot;, an island where the United States conducted tests on atomic bombs.",False
SmartBot1,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",True
SmartBot1,Gumbo is a stew that originated in Louisiana.,True
SmartBot1,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot2,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot2,"When you cry in space, your tears stick to your face.",True
SmartBot2,Stagecoach owned &quot;South West Trains&quot; before losing the rights to FirstGroup and MTR in March of 2017.,True
SmartBot2,Slovakia is a member of European Union-,True
SmartBot2,Nutella is produced by the German company Ferrero.,True
SmartBot2,The average woman is 5 inches / 13 centimeters shorter than the average man.,True
SmartBot2,The scientific name for the Southern Lights is Aurora Australis?,False
SmartBot2,Did Michael Jackson invent the moonwalk?,True
SmartBot3,"In Scandinavian languages, the letter &Aring; means river.",True
SmartBot3,"Spoon theory is a theory, utilizing &quot;Spoons&quot; as a metaphor for energy they can use in a day.",False
